FLIGHT_DATE,FLIGHT_MONTH,FLIGHT_TIME,TIME_OF_DAY,AIRLINE_CD,FLIGHT_NO,DEPARTURE_STATION_NAME,DEPARTURE_STATION_CD,DEPARTURE_STATION_GEO_LOCATION,ARRIVAL_STATION_NAME,ARRIVAL_STATION_CD,ARRIVAL_STATION_GEO_LOCATION,ARRIVAL_COUNTRY,ARRIVAL_REGION,HAUL,AIRCRAFT_TYPE,AIRCRAFT_NAME,FIRST_CLASS_SEATS,BUSINESS_CLASS_SEATS,ECONOMY_SEATS,TIER1_ELIGIBLE_PAX,TIER2_ELIGIBLE_PAX,TIER3_ELIGIBLE_PAX
30-06-2025,June,06:03,Morning,BA,BA3857,London Heathrow Airport,LHR,London,Istanbul Airport,IST,Istanbul,Turkey,Europe,SHORT,A320,Airbus 320,0,8,172,3,11,39
08-06-2025,June,06:03,Morning,BA,BA7536,London Heathrow Airport,LHR,London,Josep Tarradellas Barcelona-El Part Airport,BCN,Barcelona,Spain,Europe,SHORT,A320,Airbus 320,0,10,170,0,5,21
25-08-2025,August,06:03,Morning,BA,BA7808,London Heathrow Airport,LHR,London,Los Angeles International Airport,LAX,Los Angeles,USA,North America,LONG,B787,Boeing 787,0,31,173,0,2,15
25-05-2025,May,06:03,Morning,BA,BA5199,London Heathrow Airport,LHR,London,Haneda Airport (Tokyo International Airport),HND,Tokyo,Japan,Asia,LONG,B787,Boeing 787,0,35,179,1,5,24
01-10-2025,October,06:03,Morning,BA,BA1299,London Heathrow Airport,LHR,London,Istanbul Airport,IST,Istanbul,Turkey,Europe,SHORT,A320,Airbus 320,0,3,177,0,11,40
20-05-2025,May,06:03,Morning,BA,BA4215,London Heathrow Airport,LHR,London,John F. Kennedy International Airport,JFK,New York City,USA,North America,LONG,B787,Boeing 787,0,35,179,1,6,25
30-05-2025,May,06:03,Morning,BA,BA6785,London Heathrow Airport,LHR,London,Charles de Gaulle Airport,CDG,Paris,France,Europe,SHORT,A320,Airbus 320,0,17,163,0,9,34
27-06-2025,June,06:03,Morning,BA,BA4964,London Heathrow Airport,LHR,London,Dubai International Airport,DXB,Dubai,UAE,Middle East,LONG,B777,Boeing 777,0,32,300,4,16,55
22-05-2025,May,06:04,Morning,BA,BA3984,London Heathrow Airport,LHR,London,Istanbul Airport,IST,Istanbul,Turkey,Europe,SHORT,A320,Airbus 320,0,1,179,1,5,23
23-09-2025,September,06:04,Morning,BA,BA6425,London Heathrow Airport,LHR,London,Josep Tarradellas Barcelona-El Part Airport,BCN,Barcelona,Spain,Europe,SHORT,A320,Airbus 320,0,18,162,0,6,26
11-08-2025,August,06:04,Morning,BA,BA3027,London Heathrow Airport,LHR,London,Munich Airport,MUC,Munich,Germany,Europe,SHORT,A320,Airbus 320,0,9,171,0,2,13
01-04-2025,April,06:04,Morning,BA,BA6087,London Heathrow Airport,LHR,London,Adolfo Suárez Madrid–Barajas Airport,MAD,Madrid,Spain,Europe,SHORT,A320,Airbus 320,0,17,163,0,11,40
14-05-2025,May,06:04,Morning,BA,BA8638,London Heathrow Airport,LHR,London,Munich Airport,MUC,Munich,Germany,Europe,SHORT,A320,Airbus 320,0,8,172,1,7,27
28-05-2025,May,06:05,Morning,BA,BA1683,London Heathrow Airport,LHR,London,Amsterdam Airport Schiphol,AMS,Amsterdam,Netherlands,Europe,SHORT,A320,Airbus 320,0,17,163,1,1,11
22-08-2025,August,06:05,Morning,BA,BA6683,London Heathrow Airport,LHR,London,John F. Kennedy International Airport,JFK,New York City,USA,North America,LONG,A380,Airbus 380,14,97,358,0,10,37
06-05-2025,May,06:05,Morning,BA,BA3947,London Heathrow Airport,LHR,London,Amsterdam Airport Schiphol,AMS,Amsterdam,Netherlands,Europe,SHORT,A320,Airbus 320,0,7,173,2,7,28
11-07-2025,July,06:05,Morning,BA,BA8360,London Heathrow Airport,LHR,London,Charles de Gaulle Airport,CDG,Paris,France,Europe,SHORT,A320,Airbus 320,0,11,169,0,2,15
14-10-2025,October,06:05,Morning,BA,BA4759,London Heathrow Airport,LHR,London,Zurich Airport,ZRH,Zurich,Switzerland,Europe,SHORT,A320,Airbus 320,0,0,180,0,10,36
28-05-2025,May,06:05,Morning,BA,BA8108,London Heathrow Airport,LHR,London,O'Hare International Airport,ORD,Chicago,USA,North America,LONG,B777,Boeing 777,8,49,178,0,17,55
03-08-2025,August,06:05,Morning,BA,BA6272,London Heathrow Airport,LHR,London,Haneda Airport (Tokyo International Airport),HND,Tokyo,Japan,Asia,LONG,B787,Boeing 787,0,31,173,3,4,20
26-05-2025,May,06:05,Morning,BA,BA8483,London Heathrow Airport,LHR,London,O'Hare International Airport,ORD,Chicago,USA,North America,LONG,A350,Airbus 350,0,56,275,1,8,32
08-07-2025,July,06:05,Morning,BA,BA4163,London Heathrow Airport,LHR,London,Frankfurt Airport,FRA,Frankfurt,Germany,Europe,SHORT,A320,Airbus 320,0,16,164,0,12,42
02-06-2025,June,06:05,Morning,BA,BA8461,London Heathrow Airport,LHR,London,Los Angeles International Airport,LAX,Los Angeles,USA,North America,LONG,A380,Airbus 380,14,97,358,0,21,67
30-05-2025,May,06:05,Morning,BA,BA8596,London Heathrow Airport,LHR,London,Dubai International Airport,DXB,Dubai,UAE,Middle East,LONG,B787,Boeing 787,8,48,200,1,0,3
02-08-2025,August,06:05,Morning,BA,BA4923,London Heathrow Airport,LHR,London,O'Hare International Airport,ORD,Chicago,USA,North America,LONG,B777,Boeing 777,8,49,178,2,20,64
04-04-2025,April,06:06,Morning,BA,BA6202,London Heathrow Airport,LHR,London,O'Hare International Airport,ORD,Chicago,USA,North America,LONG,B777,Boeing 777,0,32,300,1,6,25
14-08-2025,August,06:06,Morning,BA,BA1990,London Heathrow Airport,LHR,London,Munich Airport,MUC,Munich,Germany,Europe,SHORT,A320,Airbus 320,0,3,177,1,14,49
16-10-2025,October,06:06,Morning,BA,BA2997,London Heathrow Airport,LHR,London,Los Angeles International Airport,LAX,Los Angeles,USA,North America,LONG,B787,Boeing 787,8,42,166,4,12,42
15-04-2025,April,06:06,Morning,BA,BA2108,London Heathrow Airport,LHR,London,Los Angeles International Airport,LAX,Los Angeles,USA,North America,LONG,A350,Airbus 350,0,56,275,0,8,30
09-07-2025,July,06:06,Morning,BA,BA9231,London Heathrow Airport,LHR,London,Josep Tarradellas Barcelona-El Part Airport,BCN,Barcelona,Spain,Europe,SHORT,A320,Airbus 320,0,5,175,0,12,42
17-05-2025,May,06:07,Morning,BA,BA7158,London Heathrow Airport,LHR,London,John F. Kennedy International Airport,JFK,New York City,USA,North America,LONG,A350,Airbus 350,0,56,275,1,11,38
28-07-2025,July,06:07,Morning,BA,BA1396,London Heathrow Airport,LHR,London,Munich Airport,MUC,Munich,Germany,Europe,SHORT,A320,Airbus 320,0,6,174,0,16,55
10-04-2025,April,06:07,Morning,BA,BA1711,London Heathrow Airport,LHR,London,Los Angeles International Airport,LAX,Los Angeles,USA,North America,LONG,B777,Boeing 777,0,32,300,2,11,40
07-05-2025,May,06:07,Morning,BA,BA5464,London Heathrow Airport,LHR,London,Dubai International Airport,DXB,Dubai,UAE,Middle East,LONG,B787,Boeing 787,8,48,200,0,5,22
14-09-2025,September,06:07,Morning,BA,BA2488,London Heathrow Airport,LHR,London,Munich Airport,MUC,Munich,Germany,Europe,SHORT,A320,Airbus 320,0,1,179,0,3,15
17-04-2025,April,06:07,Morning,BA,BA5766,London Heathrow Airport,LHR,London,Dubai International Airport,DXB,Dubai,UAE,Middle East,LONG,B777,Boeing 777,0,32,300,1,8,32
12-06-2025,June,06:07,Morning,BA,BA5886,London Heathrow Airport,LHR,London,John F. Kennedy International Airport,JFK,New York City,USA,North America,LONG,B787,Boeing 787,8,48,200,2,9,35
11-09-2025,September,06:07,Morning,BA,BA8787,London Heathrow Airport,LHR,London,Los Angeles International Airport,LAX,Los Angeles,USA,North America,LONG,B787,Boeing 787,8,48,200,0,10,37
04-04-2025,April,06:07,Morning,BA,BA1746,London Heathrow Airport,LHR,London,John F. Kennedy International Airport,JFK,New York City,USA,North America,LONG,B777,Boeing 777,8,49,178,2,2,14
26-09-2025,September,06:08,Morning,BA,BA6992,London Heathrow Airport,LHR,London,Haneda Airport (Tokyo International Airport),HND,Tokyo,Japan,Asia,LONG,A380,Airbus 380,14,97,358,0,14,49
02-10-2025,October,06:08,Morning,BA,BA2116,London Heathrow Airport,LHR,London,Amsterdam Airport Schiphol,AMS,Amsterdam,Netherlands,Europe,SHORT,A320,Airbus 320,0,20,160,0,22,71
08-10-2025,October,06:08,Morning,BA,BA9821,London Heathrow Airport,LHR,London,Adolfo Suárez Madrid–Barajas Airport,MAD,Madrid,Spain,Europe,SHORT,A320,Airbus 320,0,10,170,0,3,17
05-07-2025,July,06:08,Morning,BA,BA2731,London Heathrow Airport,LHR,London,O'Hare International Airport,ORD,Chicago,USA,North America,LONG,B777,Boeing 777,8,49,178,0,22,71
06-08-2025,August,06:08,Morning,BA,BA1378,London Heathrow Airport,LHR,London,Charles de Gaulle Airport,CDG,Paris,France,Europe,SHORT,A320,Airbus 320,0,0,180,3,0,0
01-10-2025,October,06:08,Morning,BA,BA1087,London Heathrow Airport,LHR,London,Vienna International Airport,VIE,Vienna,Austria,Europe,SHORT,A320,Airbus 320,0,10,170,0,14,47
22-07-2025,July,06:08,Morning,BA,BA7464,London Heathrow Airport,LHR,London,Josep Tarradellas Barcelona-El Part Airport,BCN,Barcelona,Spain,Europe,SHORT,A320,Airbus 320,0,9,171,0,0,2
01-10-2025,October,06:09,Morning,BA,BA1313,London Heathrow Airport,LHR,London,Haneda Airport (Tokyo International Airport),HND,Tokyo,Japan,Asia,LONG,B777,Boeing 777,0,32,300,0,0,0
04-05-2025,May,06:09,Morning,BA,BA2668,London Heathrow Airport,LHR,London,Dubai International Airport,DXB,Dubai,UAE,Middle East,LONG,B787,Boeing 787,0,35,179,0,5,23
24-08-2025,August,06:09,Morning,BA,BA7490,London Heathrow Airport,LHR,London,Josep Tarradellas Barcelona-El Part Airport,BCN,Barcelona,Spain,Europe,SHORT,A320,Airbus 320,0,18,162,0,17,58
05-06-2025,June,06:09,Morning,BA,BA2819,London Heathrow Airport,LHR,London,Josep Tarradellas Barcelona-El Part Airport,BCN,Barcelona,Spain,Europe,SHORT,A320,Airbus 320,0,12,168,0,4,19
18-06-2025,June,06:09,Morning,BA,BA4609,London Heathrow Airport,LHR,London,Dubai International Airport,DXB,Dubai,UAE,Middle East,LONG,B787,Boeing 787,8,48,200,1,1,11
02-06-2025,June,06:10,Morning,BA,BA7806,London Heathrow Airport,LHR,London,Dubai International Airport,DXB,Dubai,UAE,Middle East,LONG,B777,Boeing 777,0,32,300,0,6,25
29-07-2025,July,06:10,Morning,BA,BA1754,London Heathrow Airport,LHR,London,Dubai International Airport,DXB,Dubai,UAE,Middle East,LONG,B787,Boeing 787,0,35,179,0,0,7
20-08-2025,August,06:10,Morning,BA,BA8498,London Heathrow Airport,LHR,London,Adolfo Suárez Madrid–Barajas Airport,MAD,Madrid,Spain,Europe,SHORT,A320,Airbus 320,0,5,175,2,5,22
10-05-2025,May,06:10,Morning,BA,BA6332,London Heathrow Airport,LHR,London,Munich Airport,MUC,Munich,Germany,Europe,SHORT,A320,Airbus 320,0,19,161,1,9,33
03-10-2025,October,06:10,Morning,BA,BA4832,London Heathrow Airport,LHR,London,Amsterdam Airport Schiphol,AMS,Amsterdam,Netherlands,Europe,SHORT,A320,Airbus 320,0,4,176,0,13,45
09-06-2025,June,06:10,Morning,BA,BA6275,London Heathrow Airport,LHR,London,Los Angeles International Airport,LAX,Los Angeles,USA,North America,LONG,B777,Boeing 777,0,32,304,0,1,10
02-10-2025,October,06:10,Morning,BA,BA7232,London Heathrow Airport,LHR,London,O'Hare International Airport,ORD,Chicago,USA,North America,LONG,A380,Airbus 380,14,97,358,3,2,14
05-06-2025,June,06:10,Morning,BA,BA2175,London Heathrow Airport,LHR,London,Zurich Airport,ZRH,Zurich,Switzerland,Europe,SHORT,A320,Airbus 320,0,1,179,0,7,28
10-06-2025,June,06:10,Morning,BA,BA7615,London Heathrow Airport,LHR,London,Los Angeles International Airport,LAX,Los Angeles,USA,North America,LONG,A350,Airbus 350,0,56,275,0,17,56
03-07-2025,July,06:10,Morning,BA,BA5953,London Heathrow Airport,LHR,London,Dallas/Fort Worth International Airport,DFW,Dallas,USA,North America,LONG,B787,Boeing 787,8,48,200,0,12,42
30-09-2025,September,06:10,Morning,BA,BA3867,London Heathrow Airport,LHR,London,Charles de Gaulle Airport,CDG,Paris,France,Europe,SHORT,A320,Airbus 320,0,18,162,0,11,40
30-08-2025,August,06:11,Morning,BA,BA6644,London Heathrow Airport,LHR,London,Frankfurt Airport,FRA,Frankfurt,Germany,Europe,SHORT,A320,Airbus 320,0,11,169,0,10,35
25-09-2025,September,06:11,Morning,BA,BA9702,London Heathrow Airport,LHR,London,Munich Airport,MUC,Munich,Germany,Europe,SHORT,A320,Airbus 320,0,1,179,1,11,38
06-08-2025,August,06:11,Morning,BA,BA2363,London Heathrow Airport,LHR,London,Frankfurt Airport,FRA,Frankfurt,Germany,Europe,SHORT,A320,Airbus 320,0,3,177,1,11,38
20-06-2025,June,06:11,Morning,BA,BA3784,London Heathrow Airport,LHR,London,John F. Kennedy International Airport,JFK,New York City,USA,North America,LONG,A380,Airbus 380,14,97,358,0,7,27
21-04-2025,April,06:11,Morning,BA,BA7400,London Heathrow Airport,LHR,London,Haneda Airport (Tokyo International Airport),HND,Tokyo,Japan,Asia,LONG,B777,Boeing 777,8,49,178,0,0,2
14-08-2025,August,06:11,Morning,BA,BA4717,London Heathrow Airport,LHR,London,Frankfurt Airport,FRA,Frankfurt,Germany,Europe,SHORT,A320,Airbus 320,0,11,169,4,0,8
11-06-2025,June,06:11,Morning,BA,BA8350,London Heathrow Airport,LHR,London,Frankfurt Airport,FRA,Frankfurt,Germany,Europe,SHORT,A320,Airbus 320,0,2,178,0,3,15
07-04-2025,April,06:11,Morning,BA,BA8203,London Heathrow Airport,LHR,London,O'Hare International Airport,ORD,Chicago,USA,North America,LONG,B777,Boeing 777,0,32,300,0,12,43
24-10-2025,October,06:11,Morning,BA,BA3909,London Heathrow Airport,LHR,London,Dallas/Fort Worth International Airport,DFW,Dallas,USA,North America,LONG,B787,Boeing 787,8,48,200,0,11,40
24-10-2025,October,06:11,Morning,BA,BA5042,London Heathrow Airport,LHR,London,Josep Tarradellas Barcelona-El Part Airport,BCN,Barcelona,Spain,Europe,SHORT,A320,Airbus 320,0,5,175,0,7,28
16-08-2025,August,06:11,Morning,BA,BA7513,London Heathrow Airport,LHR,London,Haneda Airport (Tokyo International Airport),HND,Tokyo,Japan,Asia,LONG,B777,Boeing 777,0,32,304,0,4,19
28-09-2025,September,06:12,Morning,BA,BA2565,London Heathrow Airport,LHR,London,Josep Tarradellas Barcelona-El Part Airport,BCN,Barcelona,Spain,Europe,SHORT,A320,Airbus 320,0,15,165,0,19,63
10-08-2025,August,06:12,Morning,BA,BA4614,London Heathrow Airport,LHR,London,Istanbul Airport,IST,Istanbul,Turkey,Europe,SHORT,A320,Airbus 320,0,6,174,0,3,15
23-07-2025,July,06:12,Morning,BA,BA5368,London Heathrow Airport,LHR,London,O'Hare International Airport,ORD,Chicago,USA,North America,LONG,B777,Boeing 777,0,48,224,2,7,29
20-04-2025,April,06:12,Morning,BA,BA9099,London Heathrow Airport,LHR,London,Amsterdam Airport Schiphol,AMS,Amsterdam,Netherlands,Europe,SHORT,A320,Airbus 320,0,2,178,0,11,40
09-06-2025,June,06:12,Morning,BA,BA5659,London Heathrow Airport,LHR,London,Dubai International Airport,DXB,Dubai,UAE,Middle East,LONG,B787,Boeing 787,8,42,166,2,0,0
02-04-2025,April,06:12,Morning,BA,BA6178,London Heathrow Airport,LHR,London,Istanbul Airport,IST,Istanbul,Turkey,Europe,SHORT,A320,Airbus 320,0,8,172,0,11,39
19-10-2025,October,06:12,Morning,BA,BA1066,London Heathrow Airport,LHR,London,Munich Airport,MUC,Munich,Germany,Europe,SHORT,A320,Airbus 320,0,10,170,0,3,16
05-07-2025,July,06:12,Morning,BA,BA1439,London Heathrow Airport,LHR,London,Istanbul Airport,IST,Istanbul,Turkey,Europe,SHORT,A320,Airbus 320,0,2,178,0,6,24
24-05-2025,May,06:12,Morning,BA,BA3204,London Heathrow Airport,LHR,London,Adolfo Suárez Madrid–Barajas Airport,MAD,Madrid,Spain,Europe,SHORT,A320,Airbus 320,0,18,162,1,12,44
28-05-2025,May,06:13,Morning,BA,BA1048,London Heathrow Airport,LHR,London,Adolfo Suárez Madrid–Barajas Airport,MAD,Madrid,Spain,Europe,SHORT,A320,Airbus 320,0,18,162,0,2,14
17-08-2025,August,06:13,Morning,BA,BA5180,London Heathrow Airport,LHR,London,Amsterdam Airport Schiphol,AMS,Amsterdam,Netherlands,Europe,SHORT,A320,Airbus 320,0,1,179,0,11,39
25-07-2025,July,06:13,Morning,BA,BA1766,London Heathrow Airport,LHR,London,Frankfurt Airport,FRA,Frankfurt,Germany,Europe,SHORT,A320,Airbus 320,0,5,175,0,12,44
10-10-2025,October,06:13,Morning,BA,BA8802,London Heathrow Airport,LHR,London,Vienna International Airport,VIE,Vienna,Austria,Europe,SHORT,A320,Airbus 320,0,5,175,0,0,6
20-06-2025,June,06:13,Morning,BA,BA3681,London Heathrow Airport,LHR,London,Los Angeles International Airport,LAX,Los Angeles,USA,North America,LONG,A350,Airbus 350,0,56,275,2,6,25
21-07-2025,July,06:13,Morning,BA,BA4061,London Heathrow Airport,LHR,London,Zurich Airport,ZRH,Zurich,Switzerland,Europe,SHORT,A320,Airbus 320,0,0,180,1,2,13
22-04-2025,April,06:13,Morning,BA,BA2445,London Heathrow Airport,LHR,London,Frankfurt Airport,FRA,Frankfurt,Germany,Europe,SHORT,A320,Airbus 320,0,18,162,0,12,42
11-07-2025,July,06:13,Morning,BA,BA1191,London Heathrow Airport,LHR,London,Dubai International Airport,DXB,Dubai,UAE,Middle East,LONG,B787,Boeing 787,0,31,173,2,6,24
06-07-2025,July,06:13,Morning,BA,BA2652,London Heathrow Airport,LHR,London,Istanbul Airport,IST,Istanbul,Turkey,Europe,SHORT,A320,Airbus 320,0,12,168,5,10,38
02-05-2025,May,06:13,Morning,BA,BA1407,London Heathrow Airport,LHR,London,Amsterdam Airport Schiphol,AMS,Amsterdam,Netherlands,Europe,SHORT,A320,Airbus 320,0,8,172,0,0,2
30-09-2025,September,06:14,Morning,BA,BA3035,London Heathrow Airport,LHR,London,Zurich Airport,ZRH,Zurich,Switzerland,Europe,SHORT,A320,Airbus 320,0,2,178,0,4,20
08-09-2025,September,06:14,Morning,BA,BA5432,London Heathrow Airport,LHR,London,Dallas/Fort Worth International Airport,DFW,Dallas,USA,North America,LONG,B787,Boeing 787,8,48,200,0,4,21
11-08-2025,August,06:14,Morning,BA,BA1313,London Heathrow Airport,LHR,London,Munich Airport,MUC,Munich,Germany,Europe,SHORT,A320,Airbus 320,0,11,169,0,18,59
12-06-2025,June,06:14,Morning,BA,BA3739,London Heathrow Airport,LHR,London,Dallas/Fort Worth International Airport,DFW,Dallas,USA,North America,LONG,B777,Boeing 777,0,32,304,0,0,8
04-07-2025,July,06:14,Morning,BA,BA2023,London Heathrow Airport,LHR,London,Adolfo Suárez Madrid–Barajas Airport,MAD,Madrid,Spain,Europe,SHORT,A320,Airbus 320,0,3,177,0,2,13
22-05-2025,May,06:14,Morning,BA,BA6016,London Heathrow Airport,LHR,London,Charles de Gaulle Airport,CDG,Paris,France,Europe,SHORT,A320,Airbus 320,0,3,177,0,11,39
24-07-2025,July,06:14,Morning,BA,BA2158,London Heathrow Airport,LHR,London,Los Angeles International Airport,LAX,Los Angeles,USA,North America,LONG,A350,Airbus 350,0,56,275,1,2,14
08-04-2025,April,06:14,Morning,BA,BA7732,London Heathrow Airport,LHR,London,Istanbul Airport,IST,Istanbul,Turkey,Europe,SHORT,A320,Airbus 320,0,12,168,1,3,17
23-10-2025,October,06:14,Morning,BA,BA6846,London Heathrow Airport,LHR,London,Haneda Airport (Tokyo International Airport),HND,Tokyo,Japan,Asia,LONG,A350,Airbus 350,0,56,275,1,8,31
12-09-2025,September,06:14,Morning,BA,BA6593,London Heathrow Airport,LHR,London,O'Hare International Airport,ORD,Chicago,USA,North America,LONG,B777,Boeing 777,0,32,300,1,4,18
28-04-2025,April,06:14,Morning,BA,BA8713,London Heathrow Airport,LHR,London,Zurich Airport,ZRH,Zurich,Switzerland,Europe,SHORT,A320,Airbus 320,0,2,178,1,4,19
27-08-2025,August,06:14,Morning,BA,BA6160,London Heathrow Airport,LHR,London,Munich Airport,MUC,Munich,Germany,Europe,SHORT,A320,Airbus 320,0,9,171,0,3,17
23-08-2025,August,06:14,Morning,BA,BA1421,London Heathrow Airport,LHR,London,Adolfo Suárez Madrid–Barajas Airport,MAD,Madrid,Spain,Europe,SHORT,A320,Airbus 320,0,3,177,0,1,11
17-08-2025,August,06:15,Morning,BA,BA8656,London Heathrow Airport,LHR,London,Charles de Gaulle Airport,CDG,Paris,France,Europe,SHORT,A320,Airbus 320,0,4,176,0,0,3
